Player name,Joined,Last Online,Scraping time,Last Online chess.com server time
koyane,"May 28, 2022",3 days ago,2023-04-04 09:46:17,2023-03-31 14:46:17
yutofujioka,"Dec 8, 2022",10 hours ago,2023-04-04 09:46:21,2023-04-03 04:46:21
tetsuoji,"Nov 30, 2022",Just now,2023-04-04 09:46:25,2023-04-03 14:46:25
haru-kun123,"Aug 17, 2022",10 hours ago,2023-04-04 09:46:30,2023-04-03 04:46:30
romainfontugne,"Jul 13, 2014",10 hours ago,2023-04-04 09:46:35,2023-04-03 04:46:35
Ankarbo,"Nov 6, 2022","Jan 31, 2023",2023-04-04 09:46:39,2023-01-31 00:00:00
EMERSTRIKE,"Jun 5, 2022",21 days ago,2023-04-04 09:46:44,2023-03-13 14:46:44
Entoyo4,"Dec 21, 2022",1 day ago,2023-04-04 09:46:48,2023-04-02 14:46:48
Sandy0520,"Oct 5, 2022",Online Now,2023-04-04 09:46:53,2023-04-03 14:46:53
elliscruijff,"Mar 25, 2022",1 day ago,2023-04-04 09:46:58,2023-04-02 14:46:58
Yasha313,"Dec 19, 2022","Feb 10, 2023",2023-04-04 09:47:03,2023-02-10 00:00:00
ebigawa,"Feb 18, 2023",2 hours ago,2023-04-04 09:47:08,2023-04-03 12:47:08
tokyonerd,"Jan 12, 2023",Just now,2023-04-04 09:47:12,2023-04-03 14:47:12
kurumikko,"Jun 11, 2022","Feb 3, 2023",2023-04-04 09:47:18,2023-02-03 00:00:00
Yurimotoyama,"Jan 14, 2022","Feb 25, 2023",2023-04-04 09:47:23,2023-02-25 00:00:00
MagnusHock,"Feb 4, 2023",8 days ago,2023-04-04 09:47:28,2023-03-26 14:47:28
Hedgehog1039,"Jan 30, 2023",Just now,2023-04-04 09:47:32,2023-04-03 14:47:32
fafmen,"Jan 4, 2023",16 hours ago,2023-04-04 09:47:37,2023-04-02 22:47:37
Shotaroy,"Mar 24, 2022",Just now,2023-04-04 09:47:42,2023-04-03 14:47:42
Rakhiinb,"Apr 17, 2021",10 hours ago,2023-04-04 09:47:47,2023-04-03 04:47:47
Yozo_Oba,"Oct 7, 2020",5 hours ago,2023-04-04 09:47:52,2023-04-03 09:47:52
NemuiMisaki,"Nov 2, 2022",29 days ago,2023-04-04 09:47:57,2023-03-05 14:47:57
kmfingfc,"Sep 28, 2022",Just now,2023-04-04 09:48:01,2023-04-03 14:48:01
